Domain;Vertical;AF_Lev_1;AF_Lev_2;Function_Name;Function_ID;Description;UID
Market & Sales Domain;Fulfillment;Sales Management;Opportunity Management;Solution Design Creation;928;"Solution Design Creation function combine/configure the emerged solution based on the existing solution, planned changes and newly designed features (e.g. for site connectivity services).
 Selecting relevant Products and Services from Catalog - Browse and select entries from a catalog that might be relevant to the set of captured requirements into the design.";2600
Market & Sales Domain;Strategy Management;Market Strategy Management;Market and Channel Strategy Definition;Market Sales Segmentation Definition;1101;Market Sales Segmentation Definition Function identifies market segments, customer profiles and channels used across the enterprise.;2607
Market & Sales Domain;Assurance;Sales Performance Management;Market and Channel Performance Tracking;Market and Channel Measurement;1098;Market and Channel Measurement Function measures Market and Channel performances.;2610
Market & Sales Domain;Fulfillment;Sales Management;Opportunity Management;Automatic Solution Validation;930;Obtains configuration constraints from the catalog and validates the correctness of the design against them.;2614
Market & Sales Domain;Fulfillment;Sales Management;Opportunity Management;Solution Pricing;931;The Solution Pricing function is concerned with assuring that the designs are priced consistent with pricing used for billing. The common product catalog provides an initial price base for the components that are in the solution vs. the existing configuration at the customer location.;2615
Market & Sales Domain;Fulfillment;Sales Management;Opportunity Management;Calculation Rules Retrieval;932;"Calculation Rules Retrieval function gives support for tariffication rules including discounting rules.
It supports that discounting rules and guidelines are provided as to standard levels of discounts/promotions  that can be provided to the customer. Special discount arrangements can be obtained by following an escalation process. There is workflow functionality to help manage discount escalation.";2616
Market & Sales Domain;Fulfillment;Sales Management;Opportunity Management;Sales Job Quick Reference Guiding;393;Sales Job Quick Reference Guiding provides job aids functions to assist various sales related tasks while conforming to organizational standards of the passive type, such as in the case of a searchable price book.;3050
Market & Sales Domain;Fulfillment;Sales Management;Opportunity Management;Price Optimization;933;Price Optimization enables sales to effectively evaluate the customer, generate recommendations for price decreases and increases, and set negotiation guidelines based on our cost. This includes the application of non-standard pricing.;3250
Market & Sales Domain;Fulfillment;Sales Management;Opportunity Management;Sales Negotiation Support;934;"Sales Negotiation Support provides support for negotiating the sale by providing multiple quotations as needed, taking into account the customer data, customer qualification, and offers made. Functionality includes access to products, product pricing, scheduling of appointments if a dispatch is necessary, etc.
Sales Negotiation generates a Customer order request.

Customer order request generation - send solution design details to update proposal product order in Customer Order Management systems";3252
Market & Sales Domain;Fulfillment;Sales Management;Opportunity Management;Solution Requirements Capturing;935;Solution Requirements Capturing captures the overall solution requirements (e.g. target date, customer locations, multi-location/shared services). It also captures the particular requirements for each customer location as part of the desired solution.;3253
Market & Sales Domain;Fulfillment;Sales Management;Opportunity Management;Sales Quote Management;1063;Sales Quote Management creates and manages quotes, including internal approval.;3254
Market & Sales Domain;Fulfillment;Sales Management;Framework Agreement Management;Customer Framework Agreement Approval;1180;Customer Framework Agreement Approval Function manages all approval of Party Roles involved in the Framework Agreement (Customer Roles as well as CSP roles).;3404
Market & Sales Domain;Operations Readiness & Support;Sales and Sales Force Management;Sales Force Management;Sales Force Objectives follow-up;1278;"Sales Force Objectives follow-up Function enables the follow-up of  the direct (Customer Service Representatives - CSR - in call centers and shops) and indirect (dealers, resellers, outsourcers) sales force' sales trend and objectives achievement.
Sales force objectives consist in activities planning, number of customer visits as well as some indicators about their efficiency in achieving the goals of a marketing campaign.";3422
Market & Sales Domain;Strategy Management;Market Strategy Management;Marketing Campaign Plan Definition;Market Strategy Plan Design;1093;"Market Strategy Plan Design formalizes, in a Market Strategy Plan, the Market and Channel key stakes, strategic axes and multi years objectives for the company, as well as Market and Channel objectives, segmentation and targeting, positioning
It includes: 

	identification of market segment, customer profile and channels used across the enterprise
	identification of the purchase behaviors: 
	development of purchase behavior models that will be used for the marketing strategy development, in order to improve the distribution performance. These models will be used for the statistical tool implementation (customer profile type) and the creation of statistical data (dashboards).
	a broad Sales Strategy to support the market strategy with a Sales model management defining the various stages of the sales pipeline, which can be based on the SPANCO method (Suspect qualification, Prospect qualification, Analyzing, Negotiating, Closing, Ordering).
";3428
Market & Sales Domain;Strategy Management;Market Strategy Management;Marketing Campaign Plan Definition;Market and Channel Forecasts Identification;1092;Market and Channel Forecasts Identification forecasts the Market and Channel sales. Forecasts are carried out from a chronological modelling of the tendencies, the forecasts of commercial actions or marketing.;3431
Market & Sales Domain;Strategy Management;Market Strategy Management;Marketing Campaign Plan Definition;Marketing Campaign Roadmap Definition;1094;Marketing Campaign Roadmap Definition Function identifies and defines the campaigns that should be executed to reach the business objectives for all segments and their sequence (campaign name, description, campaign type, objectives, cost, sponsor, planning).;3432
Market & Sales Domain;Strategy Management;Marketing Strategic Analysis;Marketing Campaign Analysis;Marketing Information Sharing;354;Marketing Information Sharing provides dashboard views, alerts, and notifications to marketing organizations with the insight and agility needed to protect and optimize marketing investments.;3435
Market & Sales Domain;Business Value Development;Marketing Campaign Development;Marketing Campaign Design;Marketing Message Definition;1096;Marketing Message Definition Function defines the message (email, letter, script) to be used in the Marketing Campaign.;3440
Market & Sales Domain;Business Value Development;Marketing Campaign Development;Marketing Campaign Design;Campaign Preparation;347;Campaign Preparation can pre-define campaign execution channels and fulfillment tool for the use of direct mail, email, fax, web, events, telesales and sales.;3443
Market & Sales Domain;Operations Readiness & Support;Sales and Sales Force Management;Sales Force Management;Sales Force Objectives Definition;1279;"Sales Force Objectives Definition Function defines the direct (Customer Service Representatives - CSR - in call centers and shops) and indirect (dealers, resellers, outsourcers) sales forces objectives. 
It consists in planning their activities, their visits with customers as well as some indicators about their efficiency in achieving the goals of a marketing campaign.";3722
Market & Sales Domain;Strategy Management;Market Strategy Management;Market Sales and Channel Development;Direct Sales Force Management;373;"Direct Sales Force Management; A direct sales administrative function that can define and structure sales territories to assist structuring of the CSPs sales organization and forecasting.";3724
Market & Sales Domain;Strategy Management;Market Strategy Management;Market and Channel Strategy Definition;Market and Channel Sales Forecasts Determination;1100;Market and Channel Sales Forecasts Determination Function determines forecasts of the Market and Channel sales. Forecasts are carried out from a chronological modelling of the tendencies, the forecasts of commercial actions or marketing.;3726
Market & Sales Domain;Strategy Management;Marketing Strategic Analysis;Marketing Campaign Analysis;Marketing Insight Campaign Reporting;355;Marketing Insight Campaign Reporting provides pre-built campaign performance and market Insight reporting.;3727
Market & Sales Domain;Strategy Management;Marketing Strategic Analysis;Marketing Campaign Analysis;Marketing Campaign Product Tracking;410;Marketing Campaign Product Tracking tracks performance of product based upon their performance in the marketplace with regards to Marketing campaigns.;3728
Market & Sales Domain;Business Value Development;Marketing Campaign Development;Marketing Campaign Design;Campaign Template Creation;348;Campaign Template Creation creates campaign templates to pre-define frequently used campaigns, segments, content templates, and their tracking metrics, to be pre-defined, customizable, and to step through campaign setup and execution.;3729
Market & Sales Domain;Business Value Development;Marketing Campaign Development;Marketing Campaign Design;Campaign Creation;346;Campaign Creation creates campaigns to quickly push opportunities out to pre-defined sales territories using a coordinated sales methodology.;3730
Market & Sales Domain;Business Value Development;Advertising Management;Advertisement Management;Advertisement Design;1316;Advertisement Design function supports creating compelling ad content tailored to the target audiences, along with parameters to adjust or tailor the content to the receivers as needed.  This function may also be responsible for A/B testing to optimize ad variations.;3732
Market & Sales Domain;Business Value Development;Advertising Management;Advertisement Management;Advertisement Delivery;1317;Advertisement Delivery function is responsible for presentation or triggering physical delivery of advertisements to the targeted recipients.;3733
Market & Sales Domain;Operations Readiness & Support;Sales Commissioning Management;Sales Account Management;Sales Account Planning;391;Sales Account Planning looks at the service providers complete relationship with a large customer. This includes the customers outages, revenues, opportunities in the pipeline, etc. It allows the account executive to effectively manage the service providers relationship with the customer and to plan the selling strategy going forward.;3734
Market & Sales Domain;Operations Readiness & Support;Sales Commissioning Management;Sales Account Management;Telesales Tools Support;397;Telesales Tools Support for multimedia integration as Computer Telecom Integration, Predictive dialer, Email, including follow up and cross selling tools.;3735
Market & Sales Domain;Operations Readiness & Support;Sales Commissioning Management;Sales Commission Repository Management;Sales Commission Reporting;358;Sales Commission Reporting provides reporting of the sales force's received compensation for sales based on performance against quotas assigned, billed revenue, numbers of sales, or other events determined by business rules that change each year. This includes handling of payment and reporting against performance.;3736
Market & Sales Domain;Fulfillment;Sales Management;Sales Lead Management;Funnel Leads Tracking;376;Funnel Leads Tracking provides the necessary functionality to track and manage the funnel process of the various leads and opportunities.;3737
Market & Sales Domain;Fulfillment;Sales Management;Sales Lead Management;Sales Lead Capturing;726;Sales Lead Capturing handles the generation of leads. A lead can be generated from many different sources and customer interactions including the result of a targeted marketing campaign. Potential customer information is obtained from external sources or from internally generated data.;3738
Market & Sales Domain;Fulfillment;Sales Management;Opportunity Management;Sales Aids Support;394;Sales Aids Support provides job aids functions to access active aids like template or wizard types of context-aware scripting to e.g. aid lead qualification.;3739
Market & Sales Domain;Assurance;Sales Performance Management;Sales Reporting;Sales Order Reporting;388;Sales Order Reporting provides reporting of order handoffs.;3741
Market & Sales Domain;Operations Readiness & Support;Sales and Sales Force Management;Sales Force Management;Sales Force Forecast Definition;1277;Sales Force Forecast Definition Function defines the direct (Customer Service Representatives - CSR - in call centers and shops) and indirect (dealers, resellers, outsourcers) sales forces revenue forecast.;3899
Market & Sales Domain;Operations Readiness & Support;Sales and Sales Force Management;Sales Territory Management;Sales Territory Definition;1276;Sales Territory Definition Function enables to structure the sales territories according to several criteria: business segments, strategic accounts, product lines, industries, geographical areas;3900
Market & Sales Domain;Strategy Management;Market Strategy Management;Market Information Management;Market Information Gathering;1280;"The Market Information Gathering Function allows to collect information from external or internal sources, to obtain a better knowledge of the market and competitors.
The information collected may concern, for example:
- market, market shares, general trends, potentials,
- customer and consumer expectations and motivations, new modes of consumption,
- distribution, general trends, new distribution channels
- competition, competitors, their market shares and strategy (positioning, target, etc.),
- environment: politic, economic (cartography of the geo-merchandising zones), technologic, ecological, legislative
- enterprise image & fame, etc.";3901
Market & Sales Domain;Strategy Management;Market Strategy Management;Market Sales and Channel Development;Sales Forecast Analyzing;370;Sales Forecast Analyzing function enables data analysis of your sales pipeline and predicts the revenue that will result when opportunities are won and deals are finalized. Forecasts are either Sales forecasts, which one can apply to anticipate the consumer demand or Order forecasts, which enables CSPs to determine whether the supply required is available to meet expected consumption levels.;3902
Market & Sales Domain;Strategy Management;Market Strategy Management;Market and Channel Strategy Definition;Sales Behaviors Modeling;1102;"Sales Behaviors Identification Function defines behaviors models and strategy: 

	development of purchase behavior models that will be used for the marketing strategy development, in order to improve the distribution performance. These models will be used for the statistical tool implementation (customer profile type) and the creation of statistical data (dashboards).
	a broad Sales Strategy to support the market strategy with a Sales model management defining the various stages of the sales pipeline, which can be based on the SPANCO method (Suspect qualification, Prospect qualification, Analyzing, Negotiating, Closing, Ordering).
";3903
Market & Sales Domain;Strategy Management;Market Strategy Management;Marketing Campaign Plan Definition;Marketing Campaign Contact Rule Definition;1095;Marketing Campaign Contact Rule Definition Function defines the contact rules with targeting criterion to make sure that commercial pressure on customer is managed (e.g. no more than 1 SMS per week for customer segment 1).;3904
Market & Sales Domain;Strategy Management;Marketing Strategic Analysis;Marketing Campaign Analysis;Campaign Performance Analyzing;345;Campaign Performance Analyzing provides quantitative tools to analyze customers and prospects to help design the right recommendations by gathering and analyzing data from past campaign planning success and performance in a continuous loop and feed this data back into the campaign planning feature.;3905
Market & Sales Domain;Strategy Management;Marketing Strategic Analysis;Market and Channel Analysis;Market and Channel Data Collection;1090;"Market and Channel Data Collection collects market and channel information including research, watch and studies.
Rationale: A market and channel research consists in evaluating the market potentials and anticipates the competition strategy (analysis of the market shares and competition and evolution assumptions).
It concerns external elements knowledge such as:

	on market, knowledge of the market shares by region with general trends, potentials in volume, in CA
	on customer and consumer, expectations and motivations, new modes of consumption, calculation of the customer average revenues according to the offer range and flow (acquisition, churn, migration).
	on distribution, general trends, new distribution channel
	on competition, anticipate the competition strategy (analysis of the market shares and competition and evolution assumptions, positioning, target, social network verbatim analysis),
	on environment: political, economical (cartography of the geo-merchandising zones), technological, ecological, legal
";3906
Market & Sales Domain;Business Value Development;Marketing Campaign Development;Marketing Campaign Design;Marketing Campaign Policy Rules Definition;1097;Marketing Campaign Policy Rules Definition Function defines policy rules according to event-based marketing capabilities to trigger automated campaigns.;3907
Market & Sales Domain;Operations Readiness & Support;Marketing Campaign Management;Marketing Campaign Execution;Campaign Workflow Execution;352;Campaign Workflow Execution provides an event evaluation and trigger function that ensure that campaigns and campaign stages (waves) are executed at critical points in the customer lifecycle.;3908
Market & Sales Domain;Operations Readiness & Support;Marketing Campaign Management;Marketing Campaign Performance Tracking and Analysis;Real-time Campaign Performance Tracking;356;Real-time Campaign Performance Tracking provides real-time campaign performance tracking in customizable segmentation schemes and key metrics.;3909
Market & Sales Domain;Business Value Development;Sales Commission Management;Sales Commission Development;Sales Commission Management;357;Sales Commission Management provides management of the sales force's received compensation for sales based on performance against quotas assigned, billed revenue, numbers of sales, or other events determined by business rules that change each year. This function includes building the annual compensation plan, setting and managing sales quotas, and managing to it.;3910
Market & Sales Domain;Business Value Development;Advertising Management;Advertisement Management;Advertisement Targeting Specification;1314;Advertisement Targeting Specification function supports the specification of the target audiences for advertisements based on demographics, interests and behaviors, and for selecting appropriate advertising platforms and channels- (e.g. social media, search engines, websites, streaming content).;3911
Market & Sales Domain;Operations Readiness & Support;Sales Commissioning Management;Sales Account Management;Sales Opportunities Dispatching;371;Sales Opportunities Dispatching creates and dispatches opportunities to relevant employees/sales personnel. Captures customer information and qualifies leads according to the guidelines set by your company (cf Customer Information Management). Sales opportunities are dispatched to sales representatives in the field.;3912
Market & Sales Domain;Operations Readiness & Support;Sales Commissioning Management;Sales Commission Calculation;Commissioning Management;392;The Commissioning Management function consists in calculating commissions for dealers or resellers from information such as orders, activation, usage.;3913
Market & Sales Domain;Operations Readiness & Support;Sales Commissioning Management;Sales Commission Repository Management;Commission Statements Browsing;367;Commission Statements Browsing provides a dealer's online access function to make them self-sufficient to view dealer commission statements.;3914
Market & Sales Domain;Fulfillment;Sales Management;Sales Lead Management;Funnel Creation;374;Funnel Creation provides the necessary functionality to create a new sales funnel or pipeline.;3915
Market & Sales Domain;Fulfillment;Sales Management;Framework Agreement Management;Customer Framework Agreement Definition;1179;"The Customer Framework Agreement Definition Function consists in defining the agreement that describes the commitments and company features valid for associated customer orders.
It defines a subset of catalog offers and products which will be marketed to a customer with particular conditions (configurations of product, rates, discounts, SLA such as availability rate, restoration time guaranties, and associated penalties for the CSP).";3916
Market & Sales Domain;Assurance;Sales Performance Management;Sales Reporting;Sales and Marketing Reporting;389;Sales and Marketing Reporting provides insight into multiple aspects of Sales & Marketing, including closed loop marketing, sales metrics, forecasting, sales workflow, funnel and pipeline activities.;3917
Market & Sales Domain;Business Value Development;Marketing Campaign Development;Marketing Campaign Workflow Design;Campaign Workflow Initiation;351;Campaign Workflow Initiation provides a campaign function allowing users to execute campaigns in their own terms to push opportunities out to their territories, along with a coordinated sales methodology. Integration to Sales Management Applications and Channel Sales Management Applications is needed.;4082
Market & Sales Domain;Fulfillment;Sales Management;Opportunity Management;Sales Opportunity Management;372;Sales Opportunity Management creates, manages and develop sales opportunities for customers.;4083
Market & Sales Domain;Assurance;Sales Performance Management;Sales Analysis;Sales Metrics Calculation;387;Sales Metrics Calculation provides sales metrics calculation according to pre-defined metrics rules.;4084
Market & Sales Domain;Assurance;Sales Performance Management;Market and Channel Performance Tracking;Market and Channel Performance Follow-up;1099;Market and Channel Performance Follow-up Function implements follow-up actions of the performances and profitability of the market and channels (reporting concerning the performances and the impacts of the marketing, sales, new customers acquisitions).;4109
Product Domain;Business Value Development;Product Specification & Offering Management;Ordering Rules Development;Customer Order Rules Configuration;721;Customer Order Rules Configuration function provides in addition to the Product rules, rules like cross/up sell rules, eligibility rules (i.e. we agree to make the requested Product available), address/service availability rules, etc. Some specific types of rules must be available for all decision-based actions on customer order. These rules could be: customer fraud check, priority rules, order duplication prevention rules, complex rules involving multi-system checks, etc.;2004
Product Domain;Business Value Development;Product Specification & Offering Management;Ordering Rules Development;Centralized Ordering Rules Management;210;Centralized Ordering Rules Management provides centralized business rules for ordering (eligibility, compatibility).;2005
Product Domain;Assurance;Product Performance Management;Product Performance Reporting;Open SLA Issues Reporting;295;Open SLA Issues Reporting function provides the necessary functionality to report open SLA issues.;2006
Product Domain;Assurance;Product Performance Management;Product Performance Analysis;Product Performance Analysis;1206;"Product Performance Analysis Function comprises off-line analysis of product performance and forecasts concerning the product performance indicators, depending on rules and indicators defined through Product Supervision Strategy and Policy Management.

It calculates product quality and performance indicators (aggregated or not) and produces statistics and forecasts concerning the product quality and performance indicators, based on the following information: 
- indicators already calculated by the Product Quality and Performance Supervision function
- aggregated product usages 
- historic of product test
- product trouble ticket

The information produced can also be used to improve the rules and indicators definition of Product Supervision Strategy and Policy Management.";2007
Product Domain;Assurance;Product Problem Management;Product Trouble Ticket Management;Customer Support Case Management;169;Customer Support Case Management function for front end support of the function flows defined by the case management functions (cf. Case Management Applications).;2011
Product Domain;Assurance;Product Problem Management;Product Trouble Ticket Management;Customer Problem Status On-Request Reporting;224;"Customer Problem Status On-Request Reporting function provides the necessary functionality to report on the status of open / closed customer problems. Customer problems can include:

	General questions on products purchased and being used by the customer
	Problems with products already purchased and being used by the customer either due to lack of education or service/network problems
	Problems with a material purchase from the service provider, even if they do not have an account with the said service provider
	General inquiries, complaints, and commendations.
";2012
Product Domain;Strategy Management;Product Specification & Offering Strategy Definition & Analysis;Product Specification & Offering Strategy Management;Product Strategy to Proposition Alignment;417;Product Strategy to Proposition Alignment captures and manages details of the business strategy and applies them to the propositions for new or updated product offerings and/or product specifications.;2130
Product Domain;Business Value Development;Product Specification & Offering Management;Product Test Specification Development;Product Test Configuration Design;1074;Product Test Configuration Design Function specifies Test rules defining the strategies for setting up test configuration that are necessary for executing the service or resource test on which the product test is based.;2131
Product Domain;Billing;Product Usage Management;Product Balance Management;Account Balance Thresholds Actions Configuration;46;Account Balance Thresholds Actions Configuration records definition of policies per balance or balance type of threshold actions and notification concerning usage volume Product's Balance (i.e. an instance of Product).;2264
Product Domain;Billing;Product Usage Management;Product Balance Management;Balance Information Reporting;47;Balance Information Reporting provides communication of balance information to the financial systems (e.g. General Ledger, Accounts Receivable) within the enterprise.;2265
Product Domain;Billing;Product Usage Management;Product Balance Management;Charge Calculation Balance Updating;48;Charge Calculation Balance Updating applies Charge Calculation results to the balance as a credit or debit concerning usage volume Product's Balance (i.e. an instance of Product).;2266
Product Domain;Billing;Product Usage Management;Product Balance Management;Balance Management Spending-limits Enforcement;49;Balance Management Spending-limits Enforcement enforces spending-limits and credit-control for postpaid balances.;2267
Product Domain;Billing;Product Usage Management;Product Balance Management;Balance Management Activities Logging;50;Balance Management Activities Logging provides transaction logs to support reporting activities concerning usage volume Product's Balance (i.e. an instance of Product).;2268
Product Domain;Billing;Product Usage Management;Product Balance Management;Balance Replenishment;51;Balance Replenishment will top-up recharge of prepaid balances from postpaid accounts (e.g. credit card or credit balance) concerning usage volume Product's Balance (i.e. an instance of Product).;2269
Product Domain;Billing;Product Usage Management;Product Balance Management;Roll-over and Cyclic Balance Policies Configuration;52;Roll-over and Cyclic Balance Policies Configuration provides configuration of definition of policies per balance or balance type for roll-over and cyclic policies concerning usage volume Product's Balance (i.e. an instance of Product).;2270
Product Domain;Billing;Product Usage Management;Product Balance Management;Charges To Multiple Balances Splitting;53;Charges To Multiple Balances Splitting provides splitting of charges between multiple balances concerning usage volume Products' Balances (i.e. an instances of Product).;2271
Product Domain;Billing;Product Usage Management;Product Balance Management;Multiple Simultaneous Balance Updating;54;Multiple Simultaneous Balance Updating provides support for multiple simultaneous sessions that affect a common balance concerning usage volume Product's Balance (i.e. an instance of Product).;2272
Product Domain;Billing;Rating and Follow up;Bill Calculation;Bill Charges Aggregation;183;Bill Charges Aggregation function determines charges (including recurring, one time and usage charges) for purchased products and services in a given bill run based on the customer price plan set at time of the customer order/contract negotiation.;2276
Product Domain;Billing;Rating and Follow up;Tariff Calculation and Rating;Event Charge/Credit Calculation;126;Event Charge/Credit Calculation calculates event-level charges/credits (one time, recurring, and usage).;2277
Product Domain;Billing;Rating and Follow up;Tariff Calculation and Rating;Calculated Charges/Credits Proration;127;Calculated Charges/Credits Proration provides proration of calculated charges/credits. The function handles partial rating of a period.;2280
Product Domain;Billing;Rating and Follow up;Tariff Calculation and Rating;Late Arrival Usage Charges/Credits Recalculation;128;Late Arrival Usage Charges/Credits Recalculation provides recalculation of charges/credits based on information received later (e.g. from the Service Level Agreement function, delayed call detail record file arrival, delayed order arrival). Recalculation may be necessary: pre-billing (prior to Bill Calculation), during the Bill Calculation process, and/or post-billing.;2282
Product Domain;Billing;Rating and Follow up;Bill Calculation;Customer Access Bill Statement Splitting;254;Customer Access Bill Statement Splitting provides an internet technology driven interface to the customer to split statement for demarcation between calls directly for themselves.;2283
Product Domain;Assurance;Product Problem Management;Product Trouble Ticket Management;Case Correlation;98;"Case Correlation &amp; Analysis function provides appropriate functionality to relate cases as appropriate.
Case correlation can include correlation of multiple cases that have the same root cause as can be correlated within the customer layer.";2317
Product Domain;Assurance;Product Problem Management;Product Trouble Ticket Management;Case Reporting;100;Case Reporting provides various operational reports regarding the status and state of the various cases in the Case Management application.;2318
Product Domain;Assurance;Product Problem Management;Product Trouble Ticket Management;Case Tracking Case State Reporting;105;Case Tracking Case State Reporting provides reports about the cases overall states.;2319
Product Domain;Assurance;Product Problem Management;Product Trouble Ticket Management;Case Management Information Retrieval;107;Case Management Information Retrieval provides real time query answering function for case management information.;2320
Product Domain;Assurance;Product Problem Management;Product Trouble Ticket Management;Case Tracking;110;Case Tracking, tracks and updates the state of a case because of activities related to the case (dispatches, tickets, etc.) until closed.;2321
Product Domain;Assurance;Product Problem Management;Product Trouble Ticket Management;Case Management Change Notification;1059;Case Management Change Notification provides publishing and subscription mechanisms of case management information including closing and completion.;2326
Product Domain;Assurance;Product Problem Management;Product Trouble Ticket Resolution;Customer SLA Violation Quantification;298;Customer SLA Violation Quantification function enables one to quantify the violation in terms of adjustments or actions per the contract (Per the SLA contract).;2331
Product Domain;Business Value Development;Product Specification & Offering Management;Product Specification & Offering Development;Product Modeling Support;407;Product Modeling Support supports Lifecycle Management in the design and build phase of the Product Offerings and Product Specifications.;2344
Product Domain;Billing;Rating and Follow up;Tariff Calculation and Rating;Commitment Tracking Result Determining;158;Commitment Tracking Result Determining determines the outcome of the evaluation (financial benefits or penalties) in the context of the gathered data for commitment tracking.;2346
Product Domain;Billing;Rating and Follow up;Tariff Calculation and Rating;Commitment Tracking Terms & Conditions Evaluation;159;"Commitment Tracking Terms &amp; Conditions Evaluation evaluates the terms and conditions in the context of the gathered data for commitment tracking.";2347
Product Domain;Billing;Rating and Follow up;Tariff Calculation and Rating;Commitment Tracking Data Collection;160;Commitment Tracking Data Collection collects data to be used in the evaluation of the terms and conditions to monitor financial commitments between the customer and the provider.;2348
Product Domain;Billing;Rating and Follow up;Tariff Calculation and Rating;Charging/Rating Recalculation;186;Charging/Rating Recalculation function recalculates the charges, when appropriate, across product, location, or customer, and considerations based on business rules.;2349
Product Domain;Billing;Rating and Follow up;Tariff Calculation and Rating;Discount Calculation;300;"Discounts Calculation determines charge discounts based on pricing plan; including discounts on recurring, one time, and usage charges. Discounts may be applied at different levels such as cross product, cross location, or cross customer (all customers that are part of a given group plan - some affiliation). The discounts can be apportioned across multiple events.";2379
