ID;UID;AF;Hierarchy;Description
1.3.1.2;11;Marketing Campaign Workflow Design;2;Marketing Campaign Workflow Design Aggregate Function is in charge of designing Campaign Worflows and manage its approvals.
1.3.2;12;Sales Commission Management;1;Sales Commission Management Aggregated Function groups functions specifying commission rules for the Service Provider's employees such as Sales Agent.
1.3.2.1;13;Sales Commission Development;2;"Sales Commission Development Aggregate Function defines the revenue forecasts, sales representative objectives and the sales force's received compensation for sales based on performance against quotas assigned
It enables the follow-up of sales representatives forecasts / objectives, sales trends"
1.3.3;14;Advertising Management;1;Advertising Management AF includes functions supporting planning, executing, and overseeing advertising campaigns to promote products or services. Effective advertising management plays a crucial role in building brand awareness, driving sales, and achieving marketing objectives. Its key activities include setting campaign objectives, identifying target audiences, selecting appropriate advertising channels, creating compelling ad content, budgeting, monitoring campaign performance, and adjusting strategies as needed. The goal is to maximize the reach and impact of advertising while ensuring efficient resource allocation.
1.3.3.1;15;Advertisement Management;2;Advertisement Management AF groups functions that address the lifecycle of advertisements (whether they are actually used or not), from concept through creation through testing through placement, effectiveness assessment, and retirement.
1.4.1;16;Marketing Campaign Management;1;Marketing Campaign Management Aggregated Function groups operational functions useful to conduct campaign, etc.).
1.4.1.1;17;Marketing Campaign Execution;2;"The Marketing Campaign Execution function consists in executing and driving marketing campaign through the different channels. 

Campaign execution is launched by performing interactions with customers or prospects and may include scripts execution. It collects answers through different media.
It takes in input the campaign brief, the support to use, script if necessary, and the customer target list or criteria from the campaign design function. 
Example of criteria: send specific notifications or alerts (promotions, advertising, ) when a customer (/prospect/user) enters or leaves a designated area (based on geofencing infrastructure - and customer opt-in)

The campaign execution can involve: 
- distribution of marketing collateral like leafleting, displays at events, inserts in newspapers, television and other media advertising and magazines or direct marketing through store.
- a voice or text messaging (SMS, mail, call ) for a targeted customer list.
- a document push such as coupon, photo or video 

Campaign Execution provides the necessary tools to execute and refine the campaign, and based on performance indicators collected, accept refinements to the campaign while still executing.
Campaign test is the first phase of campaign execution (specific waves, limited audience). Its restricted execution to validate campaign."
1.4.1.2;18;Marketing Campaign Performance Tracking and Analysis;2;"Marketing Campaign Performance Tracking and Analysis provides the necessary functionality to monitor the campaign performance (e.g. performance indicators) as the campaign is being executed. 
It permits to continuously optimize campaigns.
This is done by providing a combination of real-time reporting and what-if modeling capabilities to continuously optimize campaigns by taking corrective action-even when campaigns are already underway. 
Functionality specifically includes:
- Real-time view into customizable segmentation schemes and key metrics. 
- Dashboard views, alerts, and notifications provide marketing organizations with the insight and agility needed to protect and optimize marketing investments. 
- Pre-built Marketing Insight reports."
1.4.2;19;Sales Commissioning Management;1;"The Sales Commissioning Management Aggregated Function encompasses several functionalities:
- the definition of commissioning rules for the sellers, dealers or resellers
- commissions calculation for sellers, dealers or resellers from information such as orders, activation, usage, etc. applying commission rules"
1.4.2.1;20;Sales Account Management;2;"Sales Account Management Aggregate Function is in charge of defining Sales Accounts to sellers assigning customers for products and activities.
Assignment might be done analyzing Sales Opportunities. It also provides a view of the service provider's relationship with the customer."
1.4.2.2;21;Sales Commission Calculation;2;"The Sales Commission Calculation function consists in calculating commissions for sellers, dealers or resellers from information such as orders, activation, usage, etc.
The calculation is based on rules defined by the Sales Management or by the distribution agreement."
1.4.2.3;22;Sales Commission Repository Management;2;Sales Commission Repository Management Aggregated Function manages Sales Commission inventory and provides reports.
1.4.3;23;Sales and Sales Force Management;1;"The Sales and Sales Force Management Aggregate Function encompasses several functionalities:
- Sales Territory Management enables to structure the sales teams into territories according to several criteria: business segments, strategic accounts, product lines, industries, geographical areas The territories are used for the lead / opportunity assignation and the sales forecasts.
- Sales Force Management manages the direct (Customer Service Representatives - CSR - in call centers and shops) and indirect (dealers, resellers, outsourcers) sales forces. It defines the revenue forecasts, sales representative objectives and enables the follow-up of sales representatives forecasts / objectives, sales trends
It consists in planning their activities, their visits with customers as well as some indicators about their efficiency in achieving the goals of a marketing campaign. It encompasses the objectives management."
1.4.3.1;25;Sales Territory Management;2;Sales Territory Management Aggregate Function enables to structure the sales teams into territories according to several criteria: business segments, strategic accounts, product lines, industries, geographical areas The territories are used for the lead / opportunity assignation and the sales forecasts.
1.4.3.2;26;Sales Force Management;2;"Sales Force Management Aggregate Function manages the direct (Customer Service Representatives - CSR - in call centers and shops) and indirect (dealers, resellers, outsourcers) sales forces. It defines the revenue forecasts, sales representative objectives and enables the follow-up of sales representatives forecasts / objectives, sales trends
It consists in planning their activities, their visits with customers as well as some indicators about their efficiency in achieving the goals of a marketing campaign. It encompasses the objectives management."
1.5.1;27;Sales Management;1;Sales Management Aggregated Function groups functions in charge of processing the proposition, negotiation and sales towards a customer interested in an offer or product.
1.5.1.1;28;Sales Lead Management;2;"The Sales Lead Management Aggregate Function enables to collect, evaluate and attribute the leads to the appropriate sales representatives.
The lead is an interest concerning an offer family or a product line, or expressed literally during an interaction, possibly further to a campaign, and it must be handled and specified to become an opportunity or an order.
A lead can be generated from many different sources and customer interactions including the result of a targeted marketing campaign. Potential customer information is obtained from external sources or from internally generated data.
A prospect could have expressed a commercial interest or a commercial interest has been detected from his behavior analysis.
The territories, defined by the Sales and Sales Force Management function are used for the lead assignation.

It also manages relationships between leads and various campaigns and tracks the quality of leads by noting which leads are converted to actual sales after being worked."
1.5.1.2;29;Opportunity Management;2;"The Opportunity Management Aggregate Function enables to collect, qualify the opportunities and supervise their conversion into orders.
Qualify the opportunity first includes to convert the leads into opportunities.
Once a lead is qualified, it is considered as an opportunity, which is worked further down the sales funnel through to either success (sale) or loss/disqualification (no sale).
An opportunity can be generated from many different sources and customer interactions including the result of a targeted marketing campaign. An opportunity is linked with the Offer &amp; Product Catalogue.
All information necessary to make an offer to the Prospective Customer are gathered. Potential customer information is obtained from external sources or from internally generated data.
It could also manage relationships between opportunities and various campaigns.
The opportunity may be further explored with the Prospective Customer (extended interactions) to ensure the customer requirement is understood.
It includes also Proposal Management part which enables the conversion of Opportunities into agreed proposal. 
A solution is elaborated, proposed to the Prospective Customer and his acceptation / refusal is collected. There may be a negotiation.
If the Prospective Customer accepts the commercial proposition one or several Order will be generated via the Customer Order Management functions."
1.5.1.4;30;Sales Interlocutors Management;2;"The Sales Interlocutors Management Aggregate Function permits to identify CSP and Customer information and organization, in the context of Opportunity Management or Framework Agreement Management. It mainly concerns B2B customers.

It can contain:
- The attribution to the appropriate sales representatives, according to the territories defined by the Workforce Management function
- The identification and the authorization of the customer company employees (to purchase, to add service, to obtain support, ...), 
- The way invoices and/or invoicing reports will be handled in the future (for each order, each site of the enterprise, ) via the Billing Administration function,"
1.5.1.5;31;Framework Agreement Management;2;"The Framework Agreement Management Aggregate Function consists in defining and managing the agreement that describes the commitments and company features valid for associated customer orders.
It defines a subset of catalogue offers and products which will be marketed to a customer with particular conditions (configurations of product, rates, discounts, SLA such as availability rate, restoration time guaranties, and associated penalties for the CSP)."
1.6.1;32;Sales Performance Management;1;Sales Performance Management Aggregate Function groups functions in charge of measuring and reporting sales performance.
1.6.1.1;33;Sales Analysis;2;Sales Analysis Aggregate Function is in charge of Sales performance measurement according to pre-defined metrics rules.
1.6.1.2;34;Sales Reporting;2;Sales Reporting Aggregate Function is in charge of Sales reporting.
1.6.1.3;35;Market and Channel Performance Tracking;2;"Market and Channel Performance Tracking provides the necessary functionality to monitor the performance, on market and channel axes. 
It includes: 

	- Market and channel performance measurement,
	- Follow-up of the performances and profitability of the market and channels (reporting concerning the performances and the impacts of the marketing, sales, new customers acquisitions).
"
2.1.1;36;Product Analysis;1;Product Analysis Aggregate Function groups functions useful to conduct delayed analysis, on the collected information concerning products such as product usages or product usages, which may have an influence on the strategy.
2.1.1.1;37;Product Profitability Analysis;2;Product Profitability Analysis Aggregate Function calculates Products Profitability based on Product's cost and profits.
2.1.1.2;38;Product Usage Analysis;2;"The Product Usage Analysis Aggregate Function comprises:
- Analysis of the customers' usages with identification and quantification of the products little used and even not used.
- Forecast of the usages with predictions of the product uses with a chronological modeling of the tendencies and possible breaks of consumption, in order to be compliant with the company strategy (impacts: financial, marketing, trade, network)."
2.1.1.3;39;Product Diagnostic and Test Quality Loop;2;"Product Diagnostic and Test Quality Loop provides the necessary functionalities to manage a quality loop on diagnostic to continually tweak and improve it.
This function provides an offline analysis of the usage of the tests to determine its relevance and provide modifications concerning the quota and authorized users. This analysis is done using statistical test usage data to evaluate the tests relevance and the needed updates.
Following the analysis, the creation of additional product tests can be proposed or a test can be considered irrelevant and deleted."
2.1.1.4;40;Product QoS Analysis;2;"The Product QoS Analysis Aggregate Function comprises:

	- Steering of the quality loop: Development of a global ""Dashboard"" in order to analyze the quality / efficiency of the service provided to the customers, measure the customer satisfaction and analyze their claims and/or troubles.

Statistics concerning the customer satisfaction and Quality of Service: Development of a report in order to analyze the customer satisfaction in terms of QoS (QoS as seen from the customer viewpoint), from the indicators concerning the main processes :  Customer Welcome, Customer Inquiries, Support to the service use, Claims and Complaints, After Sales, Interaction Channels. These statistics are also calculated for the set of installed products owned by the customer,  to determine the customer satisfaction score.

	- Aggregate analysis of QoS performance across groups of customers or aggregate analysis of SLA types.
"
2.1.2;41;Product Specification & Offering Strategy Definition & Analysis;1;"Product Specification &amp; Offering Strategy Definition &amp; Analysis defines the overall structure of the offers and products portfolios to be used across the enterprise. It is established, from the Offer and Product analysis, in respect with the strategic business direction and covers new offers and products as well as existing offers and products. This Aggregated Function also groups functions related to Product Specification &amp; Offering Strategy Analysis conduct."
2.1.2.1;42;Product Specification & Offering Strategy Analysis;2;"The Product Specification &amp; Offering Strategy Analysis Aggregate Function rely on offer and product research, external and internal information gathering, watch, studies on the market evolution.
An Offer and Product market research consists in evaluating the market potentials for an Offer or Product and anticipates the competition strategy (analysis of the concurrent offers and products, tariff simulations).

Analysis concern both external and internal elements knowledge taking into account assessment of the strategy performance results in order to improve the Offer and Product Strategy and campaign results.

External elements knowledge:
- on consumer, expectations and motivations toward a product, measure of customer satisfaction,
- on competition, concurrent products, tariff simulations, price, promotion, etc.
- on environment, politic, economic, technologic, ecological, legislative.

Internal elements knowledge:
- market shares by product, offer performance, penetration rates of the offers by region, number of eligible lines by region,
- actualization of the forecast model concerning the revenues,
- analysis of the revenues and costs (estimated, consolidated, trend, and their composition according to the offers, parts of the traffic)
- analysis of the market with an offer and product view including geomarketing functions in order to optimize the use of the existing network with a logic of Yield Management."
2.1.2.2;43;Product Specification & Offering Strategy Management;2;"The Product Specification &amp; Offering Strategy Management Aggregate Function formalizes, in a Market Strategy Plan, the Offer and Product key stakes, strategic axes and multi years objectives for the company, as well as the Offer and Product Portfolio Business Plans with offer and product (Pricing strategies, Costs, Forecasts, targets), place, promotion.

It comprises :
- Offer and Product portfolio business plan: This plan includes portfolio forecasts, anticipated pricing strategies, projected revenue and costs, product.
- Forecasts of the Offer and Product sales: Forecasts are carried out from a chronological modeling of the tendencies, the forecasts of commercial actions or marketing.
- Product Marketing Promotion Strategy: specific communications and promotions strategy is defined for positioning the offer and product in the marketplace. It defines a set of arguments and information needed for creating and developing specific promotional campaigns for each offer and product."
2.3.1;44;Product Specification & Offering Management;1;"The Product Specification &amp; Offering Management Aggregate Function Functions enable to create and update the catalog. This function covers the impact on the offer and product catalogue of new offers and products launches, modifications and withdrawals. This function manages the lifecycle of offers and products and includes the various possibilities of offer or product search and browse (wizard, multicriterion search, category browse)."
2.3.1.1;45;Ordering Rules Development;2;Ordering Rules Development Aggregate Function is in charge of defining and managing business rules used for ordering. It contains rules like cross/up sell rules, eligibility rules, customer fraud check, order duplication prevention rules, etc.
2.3.1.2;46;Product Specification & Offering Development;2;"The Product Specification &amp; Offering Development Aggregate Function enables to create and update the catalogue. This function covers the impact on the offer and product catalogue of new offers and products launches, modifications and withdrawals. This function manages the lifecycle of offers and products and includes the various possibilities of offer or product search and browse (wizard, multicriterion search, category browse).

At the Offer level, the catalogue describes:
- packaging rules of the contract: mandatory offers, optional offers, offers that can be ordered in number (ex: 1 to 4 mobile lines)
- commercial incompatibilities or pre-requisites (ex: necessary to be the holder of a X contract to subscribe Y contract)
- available commercial operations (ex: contract migration)
- available commitment durations
- any commercial criteria such as authorized sales channel or geographic area, customer criteria, 
- tariff specifications - and possible alterations. They are associated to the offer, to commercial operations or usage types and can be recurring or one shot. They are expressed as rules that can take into account many criteria (ex: commitment duration, product configuration, sales channel, customers age, ) and will be evaluated during the order capture process, or during the rating process for usage.

At the Product level, for every product commercialized through one or several offers, the catalogue describes:
- characteristics of the product, and their possible values (ex: speed, volume, duration, phone number, )
- available functional operations (ex: change of speed)
- functional incompatibilities or pre-requisites (deducted from CFS specification incompatibilities or pre-requisites)
- link with the know-how type (CFS specification) from which the intangible product is a restriction (ex: mobile line, VOIP, ), or directly with the Stock Item for tangible products (ex: smartphone, SIM Card), or to the Supplier product type in case of purchase products.

The Product Catalogue describes all the tangible and intangible products that can be commercialized through standard offers, loyalty offers.
Example:
- goodies can be sold or offered as a reward in exchange of fidelity points (same product commercialized through 2 offers)
- a special discount can be granted through a retention offer
- etc.

The Offers or Products described in the catalogue can be associated to different types of documentation:
- sales leaflet, standard and specific sales terms
- photos or videos
- QR codes, that can be sent to the customer or available on a poster, in a magazine,  to ease access to any type of catalogue documents
ratings and reviews from customers or CSP experts
- etc."
2.3.1.3;47;Product Test Specification Development;2;"Product Test Specification Development Aggregate Function provides the necessary functionalities to manage the product test catalogue containing the product test specifications, the rules that define the test configuration setting up based on the context, the rules that define the strategies for executing the test as well as how the test results should be restituted.
Test strategies can range from simple to complex and encompass the definition of test scenario.
The definition of the test (with specification and rules) is very important because it defines the question that is asked and thus shapes the result that is reported back.
The functionalities include providing:

	- Product Test Specification management

  - The Product Test Specification is defined, depending on the atomic product specification, based on a Service Test Specification or directly a Resource Test Specification (for example for a resource like a box, an STB)
  - Managing product test capabilities: the underlying service or resource tests used to define the product test have limitation that must be taken into account. Additional limitations can be enforce at the product level especially for the self-tests for the users.
  - Managing initiator authorization: some tests are restricted to some user roles (internal or external) so the authorization are defined at the Product Test Strategy and Policy Management

	- Test rules defining the strategies for setting up test configuration that is necessary for executing the service or resource test on which the product test is based


	- Test rules defining the restitution of the result depending on test execution context

  - For example: a test result of ok/not ok can be enough for a user whereas customer care may requires more details in the result of the test."
2.3.1.5;48;Product Specification & Offering Realization;2;Product Specification & Offering Realization AF groups functions involved in bringing Product Specifications to market in a smooth and coordinated fashion.  These functions generally bridge functional and organizational boundaries.
2.3.1.6;49;Product Specification Lifecycle Management;2;"Product Specification Lifecycle Management AF includes functions that handle the lifecycle changes (from conception through retirement) of Product Specifications, whether internally-developed and provided or created by one or more Business Partner independently or in conjunction with the Service Provider, and offered by the Service Provider or provided either by a Business Partner via the Service Provider..

These functions provide the necessary functionality to onboard or incorporate a partner's prospective product(s) into the service provider's product catalog or ""store front"", the partner's store front, etc. This functionality also includes the capability to manage the partner's product lifecycle from inception to retirement. External products can include tangible and intangible products based on resources, services and applications."
2.3.1.7;50;Product Supervision Policy Management;2;TBA
2.4.1;51;Product Management;1;Product Management Aggregate Function groups functions in charge of managing the repository of installed Products corresponding as well to ProductSpecification or ProductOffering and all related information.
2.4.1.1;52;Loyalty Account Management;2;"The Loyalty Account Management Aggregate Function is specific to Loyalty Products which imply to count advantages in units such as points. It encompasses:
- Loyalty account management: enables the consultation of the balances, the follow-up of points usage, and validity periods.
- Earn module: it enables to trigger the Loyalty Actions, identified by the Loyalty Events Management function, which modify the balance. It can take into account various event types (Product subscription, Telco usage, product purchase, qualitative surveys fulfilled, consumer life - e.g. birthday / subscription date) and transform the events in points or reward value according to business rules (use of a rule engine).
- Burn module: the gained reward value / points represent an accounting value that can be used by the consumer as payment mean, according to the Offer &amp; Product Catalogue rules. The reward can take many forms: rebates / discounts, Telco / no Telco gifts, charity gifts, Telco vouchers, partner vouchers, cash back, etc."
2.4.1.2;53;Product Repository Management;2;"The Product Repository Management Aggregate Function allows to manage the configuration and statuses of the offers and products owned by a customer, according to Offer and Product catalogue descriptions and rules.
- Note: the customer owning the Product might be the CSP when it represents a Product bought by the CSP to a Supplier.

This function also allows:
-  to instantiate or update offers and products ordered by the customer, whatever their type (network product, bundle, device, ) or their marketing mode (rented, sold, ), with their configuration, their tariffs and discounts, and their status (initialized with a creation order)
- to update Offer and Product installed base status
-  to search and read  Product installed base (subscribed offers, configuration of installed products, installed tariffs and discount, statuses, ).
It also includes the check of configuration rules such as prerequisite or mandatory characteristic for each Product submitted."
2.4.1.3;54;Loyalty Events Management;2;"The Loyalty Products are defined in the Product Catalogue, and part of Loyalty Programs that cope with the consumer recognition, the consumer life cycle and promotes the usage development, the attachment to the brand and the discovery of new products. 

The Loyalty Events Management Aggregate Function permits to:

	- collect the events defined by the Loyalty Product (nature and perimeter). Examples : monthly international usage volume, amount of the invoice, customer orders, interactions, customer birthday,
	- evaluate the related Loyalty Rules. Example: if the amount of the invoice is higher than 50,
	- and trigger Loyalty Actions. Example: customer order of 100 SMS free, interaction to notify the customer of a discount, add 100 points on the Loyalty Account.
"
2.4.1.4;55;Product Agreement Management;2;The Product Agreement Management Aggregate Function permits to manage agreements related to Product Offerings with Party involved in it and approvals.
2.4.2;56;Product Test Management;1;Product Test Management Aggregate Function groups functions in charge of Product Tests execution and managing the inventory of Product Tests.
2.4.2.1;57;Product Test Execution;2;"Product Test Execution Aggregate Function provides the necessary functionalities to manage the end-to-end execution of a test for an atomic product, either for manual or automatic testing, in order to ensure that this atomic product is working properly.

The end-to-end Product Test process will also rely on the Service Test Management and Resource Test Management functions depending on the association between the atomic product and the underlying service or resource.

The Product Test Execution is used by fulfillment and the assurance processes.
In the fulfillment process, the product test management can be triggered to launch acceptance tests to ensure that the product is working properly from the customer/user perspective and thus validate the end of the delivery process. 

On the assurance side the product testing function is used during product problem isolation. 

Product Test Execution functionalities include:

	- Verifying test authorization and quota management: product test execution checks, depending on the initiator of the test request , if it is authorized and if limitation applies in terms of test quota (linked to underlying services/resources limitation or additional marketing constraints.) This applies especially for self-care test from users.
	- Carrying out test priority : the priority of a self-care test for a user is higher than a back-office test.
	- Retrieval of appropriate inventory data and setting up the test context and configuration.
	- Test execution with access to the various data required to perform product testing.

  - A product test main actions will be to trigger service or resource tests depending on the product composition
  - Data collected during product test can be inventory data (for example in IS inventory) or data coming from service or resource tests.
  - Test execution produces a test result that may contain a raw result and an enrichment of this result depending on the product test definition and associated rules.
     For example: for an access product test the raw result can be the associated bandwidth and an enrichment can be done depending on the user access type (fiber, xdsl) to evaluate if the result is suitable or not.

	- Test results restitution: the restitution of the raw test results may depends on the test execution context data.

  - For the same test, depending on the initiator, the result restitution can be more or less detailed. The user/customer needs less technical details in self-care whereas customer care needs more and more details with higher care level.
  - However test result restitution levels must always be mutually consistent through all  the execution context

	- Test results long term logging for offline data analyses. These analyses are done outside of Product Test Management.


	- Possible reporting of test results back to the initiator of the test.
"
2.4.3;58;Product Operational Analysis;1;Product Operational Analysis Aggregate Function groups functions in charge of conducting on-the-fly analysis, on the collected information concerning offer and product, which may have an influence on the operational activities.
2.4.3.1;59;Fraud Detection;2;"The Fraud Detection Aggregate Function consists in the detection of atypical traffics and exceptional consumption and analysis and research of the fraudulent behavior profiles.
It consumes Product Usage Analysis, Service Usage Analysis, Invoice (in case of right diversion distance between the invoice and the valued use) and usage analysis for a specific number (Surcharged number) in front of installed base, invoiced base."
2.4.3.2;60;Product Usage Tracking;2;The Product Usage Tracking Aggregate Function is based on data collection processes (network probes, device agent, CDRs, Customer Premise Equipment) and comprises the Follow-up of the product use with an on-the-fly analysis (detailed and aggregated) of the customers uses and comparison with the products analysis forecasts.
2.4.3.3;61;Pushed Offer Management;2;"The Pushed Offer Management Aggregate Function includes:

	- Identifying and pushing offers adapted to the customer needs including personalized offers: based on a customer individualized knowledge (Marketing one to one), the aim is to elaborate for each customer - according to his needs and recent actions - individualized Product Specifications &amp; Offerings.
	- Simulating  Product Specification configuration and Product Offerings on the real traffic of the customer thanks to Tariff Calculation and Rating.

Pushed Offer Management uses and proposes only the offers described in the Commercial and Product Catalogue."
2.5.1;62;Product Configuration & Activation;1;"Product Configuration &amp; Activation is in charge of 
   - configuring Products taking into account constraints between them and applying engineering rules,
   - and activating and pre-activating Products."
2.5.1.1;63;Product Activation;2;Product Activation Aggregate Function is in charge of activating and pre-activating Products.
2.6.1;64;Product Performance Management;1;Product Performance Management Aggregate Function groups functions in charge of assuring that SLA agreements made between operators and customers are met.
2.6.1.1;65;Product Performance Analysis;2;Product Performance Analysis Aggregate Function calculates Product capacity and performance and analysis it.
2.6.1.2;66;Product Performance Reporting;2;The Product Performance Reporting Aggregate Function provides special report requested by customer. Some customers may request from their telecommunication operator, some specific reports, for example, concerning their consumption on a particular site, the quality of service on a particular technology. Usually, this kind of service is supported by operators for major corporate customers.
2.6.1.3;67;Product Performance Commitment Follow-up;2;The Product Performance Commitment Follow-up Aggregate Function compares the Quality of Service provided to customers against the SLA Agreement and determines possible customers compensations according to tariff rules associated with the SLA product (service level, recovery time objectives, escalation options). It relies on indicators and measures, of performance and availability provided by the network domain, or related to trouble ticket management (for example trouble processing time). It checks that the Quality of Service meets the required thresholds, provides Quality of Service and performance reports.
2.6.1.4;68;Product Performance Supervision;2;"The Product Performance Supervision Aggregate Function enables 
- Product functioning to be measured (in real-time or not), 
- and supervised, in order to prevent the product quality and performance degradation, with an on-the-fly analysis. 

It includes: 
- filtering, aggregation of the collected information
- analysis of 
     - different types of information 
     - results of tests or historic of tests
     - product usage
     - traffic degradations. 
- enrich or calculate product quality and performance indicators (includes KQI, KPI) 
     - Examples of KQI: time to repair warranty, availability percentage on a time slot, percentage of correct vocal quality communications
- analysis and evaluation of product performance indicators evolution
- it compares these information and indicators with expected values or pre-established limits
     - when there is a great augmentation of product use and traffic congestion it can trigger a trouble ticket that will be handled via problem management."
2.6.2;69;Product Problem Management;1;Product Problem Management Aggregate Function groups functions responsible for the management of a problem concerning a product.
